ReferenceDate,VariableValue,VariableCode,PublicationDate
1959-01-01,"1356,5",PCEC96,2024-08-30
1959-02-01,"1369,9",PCEC96,2024-08-30
1959-03-01,"1383,4",PCEC96,2024-08-30
1959-04-01,"1378,8",PCEC96,2024-08-30
1959-05-01,"1395,3",PCEC96,2024-08-30
1959-06-01,"1400,9",PCEC96,2024-08-30
1959-07-01,"1396,7",PCEC96,2024-08-30
1959-08-01,"1405,4",PCEC96,2024-08-30
1959-09-01,"1419,4",PCEC96,2024-08-30
1959-10-01,"1410,2",PCEC96,2024-08-30
1959-11-01,"1409,5",PCEC96,2024-08-30
1959-12-01,"1408,7",PCEC96,2024-08-30
1960-01-01,"1412,4",PCEC96,2024-08-30
1960-02-01,"1417,9",PCEC96,2024-08-30
1960-03-01,"1437,3",PCEC96,2024-08-30
1960-04-01,"1459,3",PCEC96,2024-08-30
1960-05-01,1430,PCEC96,2024-08-30
1960-06-01,"1429,7",PCEC96,2024-08-30
1960-07-01,"1432,3",PCEC96,2024-08-30
1960-08-01,"1430,9",PCEC96,2024-08-30
1960-09-01,"1437,2",PCEC96,2024-08-30
1960-10-01,"1443,8",PCEC96,2024-08-30
1960-11-01,"1439,1",PCEC96,2024-08-30
1960-12-01,"1421,4",PCEC96,2024-08-30
1961-01-01,"1424,6",PCEC96,2024-08-30
1961-02-01,"1430,2",PCEC96,2024-08-30
1961-03-01,"1447,9",PCEC96,2024-08-30
1961-04-01,"1448,7",PCEC96,2024-08-30
1961-05-01,"1457,1",PCEC96,2024-08-30
1961-06-01,"1461,3",PCEC96,2024-08-30
1961-07-01,"1457,2",PCEC96,2024-08-30
1961-08-01,"1462,5",PCEC96,2024-08-30
1961-09-01,"1470,8",PCEC96,2024-08-30
1961-10-01,"1479,8",PCEC96,2024-08-30
1961-11-01,"1494,1",PCEC96,2024-08-30
1961-12-01,"1504,3",PCEC96,2024-08-30
1962-01-01,"1504,9",PCEC96,2024-08-30
1962-02-01,1504,PCEC96,2024-08-30
1962-03-01,"1516,4",PCEC96,2024-08-30
1962-04-01,"1521,2",PCEC96,2024-08-30
1962-05-01,"1532,9",PCEC96,2024-08-30
1962-06-01,"1525,9",PCEC96,2024-08-30
1962-07-01,"1531,1",PCEC96,2024-08-30
1962-08-01,"1535,3",PCEC96,2024-08-30
1962-09-01,"1552,3",PCEC96,2024-08-30
1962-10-01,"1544,4",PCEC96,2024-08-30
1962-11-01,"1564,6",PCEC96,2024-08-30
1962-12-01,"1572,9",PCEC96,2024-08-30
1963-01-01,"1572,4",PCEC96,2024-08-30
1963-02-01,"1566,7",PCEC96,2024-08-30
1963-03-01,"1574,7",PCEC96,2024-08-30
1963-04-01,"1580,3",PCEC96,2024-08-30
1963-05-01,"1581,5",PCEC96,2024-08-30
1963-06-01,"1597,2",PCEC96,2024-08-30
1963-07-01,"1605,2",PCEC96,2024-08-30
1963-08-01,"1610,4",PCEC96,2024-08-30
1963-09-01,"1607,1",PCEC96,2024-08-30
1963-10-01,"1606,8",PCEC96,2024-08-30
1963-11-01,"1618,3",PCEC96,2024-08-30
1963-12-01,"1638,4",PCEC96,2024-08-30
1964-01-01,"1643,5",PCEC96,2024-08-30
1964-02-01,"1655,8",PCEC96,2024-08-30
1964-03-01,"1661,4",PCEC96,2024-08-30
1964-04-01,"1664,8",PCEC96,2024-08-30
1964-05-01,"1687,2",PCEC96,2024-08-30
1964-06-01,"1697,2",PCEC96,2024-08-30
1964-07-01,"1709,2",PCEC96,2024-08-30
1964-08-01,"1719,9",PCEC96,2024-08-30
1964-09-01,"1712,6",PCEC96,2024-08-30
1964-10-01,"1723,5",PCEC96,2024-08-30
1964-11-01,"1707,7",PCEC96,2024-08-30
1964-12-01,"1724,5",PCEC96,2024-08-30
1965-01-01,"1736,2",PCEC96,2024-08-30
1965-02-01,"1763,7",PCEC96,2024-08-30
1965-03-01,"1768,8",PCEC96,2024-08-30
1965-04-01,"1781,8",PCEC96,2024-08-30
1965-05-01,"1780,4",PCEC96,2024-08-30
1965-06-01,"1766,2",PCEC96,2024-08-30
1965-07-01,"1787,5",PCEC96,2024-08-30
1965-08-01,"1800,4",PCEC96,2024-08-30
1965-09-01,"1830,4",PCEC96,2024-08-30
1965-10-01,1857,PCEC96,2024-08-30
1965-11-01,"1856,4",PCEC96,2024-08-30
1965-12-01,"1860,6",PCEC96,2024-08-30
1966-01-01,"1872,5",PCEC96,2024-08-30
1966-02-01,"1884,9",PCEC96,2024-08-30
1966-03-01,"1899,3",PCEC96,2024-08-30
1966-04-01,"1901,1",PCEC96,2024-08-30
1966-05-01,"1883,2",PCEC96,2024-08-30
1966-06-01,"1888,6",PCEC96,2024-08-30
1966-07-01,"1904,4",PCEC96,2024-08-30
1966-08-01,"1907,6",PCEC96,2024-08-30
1966-09-01,"1925,1",PCEC96,2024-08-30
1966-10-01,"1916,4",PCEC96,2024-08-30
1966-11-01,"1919,1",PCEC96,2024-08-30
1966-12-01,"1921,9",PCEC96,2024-08-30
1967-01-01,"2038,9",PCEC96,2024-08-30
1967-02-01,"2031,4",PCEC96,2024-08-30
1967-03-01,"2041,7",PCEC96,2024-08-30
1967-04-01,"2060,7",PCEC96,2024-08-30
1967-05-01,"2060,6",PCEC96,2024-08-30
1967-06-01,"2072,4",PCEC96,2024-08-30
1967-07-01,"2065,2",PCEC96,2024-08-30
1967-08-01,"2071,5",PCEC96,2024-08-30
1967-09-01,"2088,9",PCEC96,2024-08-30
1967-10-01,"2069,4",PCEC96,2024-08-30
1967-11-01,"2083,2",PCEC96,2024-08-30
1967-12-01,"2110,9",PCEC96,2024-08-30
1968-01-01,"2122,9",PCEC96,2024-08-30
1968-02-01,"2124,9",PCEC96,2024-08-30
1968-03-01,"2160,7",PCEC96,2024-08-30
1968-04-01,"2153,3",PCEC96,2024-08-30
1968-05-01,"2168,3",PCEC96,2024-08-30
1968-06-01,"2187,3",PCEC96,2024-08-30
1968-07-01,"2207,4",PCEC96,2024-08-30
1968-08-01,"2213,9",PCEC96,2024-08-30
1968-09-01,"2210,8",PCEC96,2024-08-30
1968-10-01,"2214,3",PCEC96,2024-08-30
1968-11-01,"2226,3",PCEC96,2024-08-30
1968-12-01,"2220,6",PCEC96,2024-08-30
1969-01-01,"2238,7",PCEC96,2024-08-30
1969-02-01,"2252,8",PCEC96,2024-08-30
1969-03-01,2243,PCEC96,2024-08-30
1969-04-01,2252,PCEC96,2024-08-30
1969-05-01,"2266,5",PCEC96,2024-08-30
1969-06-01,2258,PCEC96,2024-08-30
1969-07-01,"2254,4",PCEC96,2024-08-30
1969-08-01,"2275,2",PCEC96,2024-08-30
1969-09-01,"2277,4",PCEC96,2024-08-30
1969-10-01,"2288,9",PCEC96,2024-08-30
1969-11-01,"2286,2",PCEC96,2024-08-30
1969-12-01,"2284,4",PCEC96,2024-08-30
1970-01-01,"2298,1",PCEC96,2024-08-30
1970-02-01,2308,PCEC96,2024-08-30
1970-03-01,"2296,5",PCEC96,2024-08-30
1970-04-01,"2298,6",PCEC96,2024-08-30
1970-05-01,"2314,7",PCEC96,2024-08-30
1970-06-01,"2322,7",PCEC96,2024-08-30
1970-07-01,2322,PCEC96,2024-08-30
1970-08-01,"2331,7",PCEC96,2024-08-30
1970-09-01,"2342,8",PCEC96,2024-08-30
1970-10-01,"2328,4",PCEC96,2024-08-30
1970-11-01,"2312,6",PCEC96,2024-08-30
1970-12-01,"2333,6",PCEC96,2024-08-30
1971-01-01,"2366,4",PCEC96,2024-08-30
1971-02-01,2371,PCEC96,2024-08-30
1971-03-01,"2372,1",PCEC96,2024-08-30
1971-04-01,2386,PCEC96,2024-08-30
1971-05-01,"2384,7",PCEC96,2024-08-30
1971-06-01,"2403,4",PCEC96,2024-08-30
1971-07-01,"2392,6",PCEC96,2024-08-30
1971-08-01,"2406,2",PCEC96,2024-08-30
1971-09-01,"2430,7",PCEC96,2024-08-30
1971-10-01,"2436,4",PCEC96,2024-08-30
1971-11-01,2449,PCEC96,2024-08-30
1971-12-01,"2464,2",PCEC96,2024-08-30
1972-01-01,"2465,5",PCEC96,2024-08-30
1972-02-01,"2470,7",PCEC96,2024-08-30
1972-03-01,"2510,3",PCEC96,2024-08-30
1972-04-01,"2516,7",PCEC96,2024-08-30
1972-05-01,"2528,9",PCEC96,2024-08-30
1972-06-01,"2536,9",PCEC96,2024-08-30
1972-07-01,"2555,4",PCEC96,2024-08-30
1972-08-01,"2568,9",PCEC96,2024-08-30
1972-09-01,"2573,3",PCEC96,2024-08-30
1972-10-01,"2616,1",PCEC96,2024-08-30
1972-11-01,"2626,6",PCEC96,2024-08-30
1972-12-01,"2636,5",PCEC96,2024-08-30
1973-01-01,"2662,2",PCEC96,2024-08-30
1973-02-01,"2678,9",PCEC96,2024-08-30
1973-03-01,"2681,4",PCEC96,2024-08-30
