,CurrentRelease,FirstRelease,Nowcast,in_dynamic_window,VIXCLS
2018-07-01,13682.7,12907.5,12903.49146002632,False,12.83
2018-08-01,13711.5,12953.5,12912.06742698705,False,12.86
2018-09-01,13687.1,13006.0,12973.95413799394,False,12.12
2018-10-01,13727.1,13034.7,13042.5162044243,False,21.23
2018-11-01,13800.3,13083.3,13090.8549882715,False,18.07
2018-12-01,13682.3,13014.5,13091.55445287838,False,25.42
2019-01-01,13721.7,13011.9,13040.06665844192,False,16.57
2019-02-01,13728.5,13040.9,13018.05467196269,False,14.78
2019-03-01,13824.8,13128.3,13095.01988144506,False,13.71
2019-04-01,13825.9,13145.6,13077.52584311926,False,13.12
2019-05-01,13877.1,13186.5,13202.6431533931,False,18.71
2019-06-01,13924.1,13270.2,13218.48918349133,False,15.08
2019-07-01,13989.9,13347.3,13319.83241380031,False,16.12
2019-08-01,14043.6,13331.8,13336.01620346663,False,18.98
2019-09-01,14066.2,13367.5,13324.18764152007,False,16.24
2019-10-01,14067.2,13386.3,13400.61659283942,False,13.22
2019-11-01,14142.8,13431.4,13434.25005737506,False,12.62
2019-12-01,14165.7,13431.6,13325.95378018721,False,13.78
2020-01-01,14217.4,13444.1,13482.62743248326,False,18.84
2020-02-01,14191.1,13458.2,13410.99663060187,False,40.11
2020-03-01,13249.3,12501.4,13458.2,True,53.54
2020-04-01,11786.8,10922.9,12501.4,True,34.15
2020-05-01,12755.2,11954.8,12002.65540832565,False,27.51
2020-06-01,13473.5,12517.5,12824.34641233215,False,30.43
2020-07-01,13682.1,12778.2,12547.92365628252,False,24.46
2020-08-01,13783.9,12874.4,13058.85909827255,False,26.41
2020-09-01,13973.0,13053.9,12874.4,True,26.37
2020-10-01,14013.4,13108.9,13053.9,True,38.02
2020-11-01,13977.9,13040.7,13108.9,True,20.57
2020-12-01,14032.9,12921.8,13040.7,True,22.75
2021-01-01,14221.4,13167.4,12921.8,True,33.09
2021-02-01,14078.8,13119.2,13167.4,True,27.95
2021-03-01,14685.5,13596.6,13119.2,True,19.4
2021-04-01,14791.6,13641.8,13596.6,True,18.61
2021-05-01,14748.9,13662.1,13641.8,True,16.76
2021-06-01,14886.8,13675.7,13662.1,True,15.83
2021-07-01,14851.6,13666.9,13675.7,True,18.24
2021-08-01,14943.5,13691.0,13666.9,True,16.48
2021-09-01,14977.9,13772.6,13691.0,True,23.14
2021-10-01,15079.2,13876.9,13772.6,True,16.26
2021-11-01,15113.7,13896.9,13876.9,True,27.19
2021-12-01,15067.9,13737.5,13896.9,True,17.22
2022-01-01,15093.0,13918.9,13737.5,True,24.83
2022-02-01,15101.9,13924.0,13918.9,True,30.15
2022-03-01,15175.2,13938.7,13924.0,True,20.56
2022-04-01,15234.1,14063.8,14127.97172149017,False,33.4
